Name of the painting,Style,Year,Period,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
Three women,Cubism,1908,African Period,1.5867,7.1783,272.9099,345.0942
Two naked women,Post-Impressionism,1906,African Period,1.8218,7.7525,301.8935,488.9965
Woman with a Fan_1,Cubism,1907,African Period,1.7270,7.6686,186.2942,496.8315
Woman with mandolin,Analytical Cubism,1909,African Period,1.7620,7.4388,353.1972,415.0407
Woman with yellow shirt,Cubism,1907,African Period,1.7511,7.6509,345.0686,386.4788
A blue vase,Symbolism,1903,Blue Period,1.2748,6.7449,145.4699,169.3901
A parody of Manet's Olympia with Junyer and Picasso,Naïve Art (Primitivism),1902,Blue Period,1.9192,6.3654,109.3235,640.1410
A red skirt,Expressionism,1901,Blue Period,1.4782,7.0232,305.7727,266.8915
A simple meal,Naïve Art (Primitivism),1904,Blue Period,1.9438,6.6063,110.3761,953.3261
Advertisement for 'Lecitina Agell',Art Nouveau (Modern),1902,Blue Period,1.9220,6.1348,34.7390,228.7824
Angel Fernandez de Soto and his Friend,Post-Impressionism,1903,Blue Period,1.8740,7.5182,47.2326,489.1136
Angel Fernandez de Soto with woman,Expressionism,1903,Blue Period,1.8531,6.2547,49.6389,719.1930
Ascet,"Expressionism, Symbolism",1903,Blue Period,1.7724,7.4714,954.3377,606.5213
Blind man and girl,Naïve Art (Primitivism),1904,Blue Period,1.9341,6.2011,158.2161,700.5513
Blue Nude,Post-Impressionism,1902,Blue Period,1.8021,7.7777,254.2614,250.6019
Boy with a Dog,"Expressionism, Symbolism",1905,Blue Period,1.9432,7.6456,678.7926,1135.7518
Breakfast of a Blind Man,"Expressionism, Symbolism",1903,Blue Period,1.5022,6.6942,537.2355,523.8767
Celestina,Expressionism,1904,Blue Period,1.9027,6.9201,464.4984,472.8829
Celestina_1,Expressionism,1904,Blue Period,1.3580,6.3300,81.9582,209.7528
Child with dove,Post-Impressionism,1901,Blue Period,1.8403,7.6692,428.2505,890.1073
Crossind Seine on the upper deck,Impressionism,1901,Blue Period,1.7901,7.7420,557.6035,740.7816
Crouching beggar,"Expressionism, Symbolism",1902,Blue Period,1.7852,7.6958,130.1498,257.2383
Crouching woman,"Expressionism, Symbolism",1902,Blue Period,1.8381,7.6683,1307.2138,653.1477
Dawn at Riera de Sant Joan,Post-Impressionism,1903,Blue Period,1.6771,7.2969,156.9143,319.5338
Dinner time (Evocation of Horta d'Ebre),Naïve Art (Primitivism),1903,Blue Period,1.9479,7.0083,239.5971,835.6662
Drunk woman is tired,Expressionism,1902,Blue Period,1.7211,7.4818,169.7695,296.2593
