Name of the painting,Style,Year,Period,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
Seven ballerinas,Neoclassicism,1919,Cubist Period,1.9087,7.0022,154.4901,843.6291
Seven ballerinas_1,Neoclassicism,1919,Cubist Period,1.9461,7.0639,117.2968,898.4160
Souvenir from Havre,Analytical Cubism,1912,Cubist Period,1.7430,7.0680,34.6992,582.9751
Spanish Still life,Analytical Cubism,1912,Cubist Period,1.7620,6.9814,50.1724,586.4907
Spouses Sisley after the 'The Betrothed' by Auguste Renoir,Post-Impressionism,1919,Cubist Period,1.8714,6.1690,101.8795,526.7132
Still life in front of a window at Saint-Raphael,Cubism,1919,Cubist Period,1.8268,7.7854,75.3942,501.8704
Still life in front of a Window overlooking the Eglise St. Augustin,Cubism,1919,Cubist Period,1.8278,7.6089,67.2660,477.4656
Still life on the piano ('CORT'),Analytical Cubism,1911,Cubist Period,1.7381,7.8356,163.3078,360.3778
Still life with a Glass and an Apple,Cubism,1914,Cubist Period,1.9018,7.3209,74.1319,598.8009
Still life with bottle of  Anis del Mono,Analytical Cubism,1909,Cubist Period,1.7964,7.6464,311.8489,462.0920
Still life with bottle of rum,Analytical Cubism,1911,Cubist Period,1.6800,7.3997,335.3318,353.7917
Still Life with Caned Chair,Analytical Cubism,1912,Cubist Period,1.7983,7.3508,135.0442,606.1984
Still life with Gobleet,Cubism,1914,Cubist Period,1.8116,7.4988,206.8683,419.7920
Still life with Guitar,Synthetic Cubism,1914,Cubist Period,1.9139,6.9981,77.5817,636.5679
Still life with pitcher and apples,Neoclassicism,1919,Cubist Period,1.8207,7.4688,167.9969,509.0762
Still life with violin and fruits,Synthetic Cubism,1912,Cubist Period,1.8435,7.3954,100.7889,622.4373
Still life_1,Cubism,1914,Cubist Period,1.8244,5.6782,22.2788,729.9342
Student with newspaper,Synthetic Cubism,1913,Cubist Period,1.9106,7.3325,156.5223,591.5671
Student with pipe,Synthetic Cubism,1914,Cubist Period,1.8552,7.2939,109.0919,445.7786
Table in a Cafe (Bottle of Pernod),Analytical Cubism,1912,Cubist Period,1.7886,7.4945,276.3900,435.7851
Table in front of window,Cubism,1919,Cubist Period,1.8101,7.8082,130.7875,592.3432
The aficionado (The torero),Analytical Cubism,1912,Cubist Period,1.6484,7.4481,258.1221,327.9499
The chess,Analytical Cubism,1911,Cubist Period,1.8989,7.7973,85.0115,289.3681
The girls of Avignon,Cubism,1907,Cubist Period,1.8631,7.7216,156.8945,607.8706
The good Derain,Post-Impressionism,1910,Cubist Period,1.7672,7.4860,329.9916,392.5085
The guitar,Synthetic Cubism,1913,Cubist Period,1.8292,7.5060,117.4564,536.7508
The guitar_1,Synthetic Cubism,1916,Cubist Period,1.8143,7.2155,103.2280,506.0727
The happy family,Pointillism,1917,Cubist Period,1.8197,7.7980,349.2832,514.9314
The Italian woman with a flower,Realism,1917,Cubist Period,1.9066,4.8690,25.5925,2251.6660
The Mandolinist,Analytical Cubism,1911,Cubist Period,1.7524,7.6427,279.8636,394.8859
The Piano Accordionist,Analytical Cubism,1911,Cubist Period,1.8076,7.6445,150.8817,519.0661
The pigeon pea,Analytical Cubism,1912,Cubist Period,1.8038,7.8098,310.2014,488.8702
"The Reservoir, Horta de Ebro",Cubism,1909,Cubist Period,1.9003,7.0009,349.3527,1145.7794
The shell Saint Jacques (Our future is in the air),Analytical Cubism,1912,Cubist Period,1.7803,6.1366,80.1189,608.1396
The student,Cubism,1919,Cubist Period,1.6928,7.4139,232.2586,385.6958
The table,Cubism,1919,Cubist Period,1.8617,7.5053,148.6357,311.4555
The Tavern,Synthetic Cubism,1914,Cubist Period,1.7791,7.2736,97.0273,396.0911
Three dancers,Neoclassicism,1919,Cubist Period,1.9321,7.5278,292.2893,577.0163
Tricorne (study),Neoclassicism,1919,Cubist Period,1.9762,6.4384,101.7481,855.3762
Untitled_1,Cubism,1919,Cubist Period,1.8757,7.6575,179.3448,484.8875
"Violin, glass, pipe and inkwell",Analytical Cubism,1912,Cubist Period,1.8144,7.2130,101.8550,625.9528
Violin,Synthetic Cubism,1912,Cubist Period,1.8786,7.1664,106.5558,495.6906
Violin_1,Synthetic Cubism,1912,Cubist Period,1.8569,6.8888,118.0584,729.8376
Violin_2,Synthetic Cubism,1913,Cubist Period,1.8010,7.4402,215.1905,492.6395
Woman and pears (Fernande),Analytical Cubism,1909,Cubist Period,1.6179,7.4602,176.3055,360.5115
Woman sitting in an armchair,Analytical Cubism,1912,Cubist Period,1.6234,7.1278,227.0046,401.7238
Woman with a Mandolin,Analytical Cubism,1909,Cubist Period,1.8130,7.4060,363.7966,491.3874
Woman with a shirt sitting in a chair,Cubism,1913,Cubist Period,1.5150,7.2049,266.2005,267.8680
Woman with guitar and piano,Analytical Cubism,1911,Cubist Period,1.6575,7.5183,206.7687,335.2290
Woman with guitar,Analytical Cubism,1911,Cubist Period,1.6974,7.5254,260.2997,360.6161
Woman with guitar_1,Cubism,1913,Cubist Period,1.7852,7.5811,116.4372,441.7195
Woman with spanish dress,Pointillism,1917,Cubist Period,1.8479,7.2916,141.7567,879.2677
A blue room (A tub),Post-Impressionism,1901,Early Years,1.8480,7.8319,630.7229,831.2868
A spanish couple in front of inn,Post-Impressionism,1900,Early Years,1.7408,7.3799,723.5743,585.2970
Academical study,Realism,1895,Early Years,1.9008,7.6989,1470.4727,811.5139
Advertisement for tavern Four cats,Art Nouveau (Modern),1897,Early Years,1.8967,7.3717,297.4299,1130.2577
Antes,Expressionism,1906,Early Years,1.8776,7.8358,554.5159,709.6936
Artist's mother,Realism,1896,Early Years,1.6236,7.3846,280.7633,327.1443
Bullfight scene,Post-Impressionism,1901,Early Years,1.7645,7.6403,294.8578,481.6166
Bullfighters and bull waiting for the next move,Post-Impressionism,1900,Early Years,1.8675,7.0774,50.5632,642.3987
Bust of young man,Realism,1895,Early Years,1.3630,6.2252,205.3255,199.2078
Couple walking,Art Nouveau (Modern),1901,Early Years,1.8325,7.3562,97.4332,301.0994
Courtesan with necklace of gems,Art Nouveau (Modern),1901,Early Years,1.7978,7.5641,167.9228,459.6604
Embrace,Post-Impressionism,1900,Early Years,1.7998,7.5995,827.3136,782.7835
Fairground,Impressionism,1900,Early Years,1.5551,7.3397,354.2058,375.1670
Female nude from back,Realism,1895,Early Years,1.4426,6.9853,228.9536,237.5481
First Communion,Realism,1896,Early Years,1.6413,7.4871,76.6628,384.0651
Flower seller,Impressionism,1901,Early Years,1.8309,7.8897,252.7139,401.0525
Gypsy in front of Musca,Post-Impressionism,1900,Early Years,1.7134,7.5534,178.4177,418.6839
Head of a child,Realism,1896,Early Years,1.6481,6.9930,230.0579,314.7679
Head of a Man in El Greco style,Realism,1899,Early Years,1.6165,6.5702,337.4541,455.7258
Head of woman,Impressionism,1901,Early Years,1.8111,7.6502,115.5937,534.6982
House in the field,Post-Impressionism,1893,Early Years,1.7474,7.2147,368.4481,421.2331
Jeanne (Reclining nude),Post-Impressionism,1901,Early Years,1.8445,7.6711,198.4788,604.7738
La chata,Expressionism,1899,Early Years,1.7290,7.7544,362.8029,702.3744
Lola,Impressionism,1899,Early Years,1.7175,7.4598,644.5133,704.4617
Longchamp,Impressionism,1901,Early Years,1.8579,7.5045,176.5038,477.8674
Lovers of the street,Post-Impressionism,1900,Early Years,1.5502,7.2380,241.0721,302.6777
Madrilenian (Head of young woman),Impressionism,1901,Early Years,1.7398,7.4996,164.7572,469.3553
Mother and child behind the bouquet of flowers,Post-Impressionism,1901,Early Years,1.6302,7.3316,297.4008,360.9323
Moulin de la Galette,Post-Impressionism,1900,Early Years,1.6575,7.0759,363.6301,574.9790
Pablo Picasso and Sebastìa Junyer-Vidal arrives to Paris,Expressionism,1901,Early Years,1.9361,7.6759,1152.8482,1101.1171
Pablo Picasso and Sebastìa Junyer-Vidal arrives to Paris_1,Expressionism,1901,Early Years,1.8729,7.0555,139.2779,963.9428
Picador,Expressionism,1900,Early Years,1.8675,7.2953,96.3216,637.3438
Picasso with partner,Art Nouveau (Modern),1901,Early Years,1.8656,7.5393,147.5213,522.3109
Pierreuse with her hand on her shoulder,Post-Impressionism,1901,Early Years,1.4939,7.1615,246.8849,277.3265
Pierrot and Colombina,"Post-Impressionism, Symbolism",1900,Early Years,1.5392,7.0876,249.9631,312.7004
Plaster male torso,Realism,1893,Early Years,1.8852,7.2343,81.9943,1066.9921
Portrait of aunt Pepa,Realism,1896,Early Years,1.3187,5.6186,105.7186,152.5713
Portrait of Bibi la Purée,Impressionism,1901,Early Years,1.8015,7.7982,182.8531,522.4531
Portrait of Casagemas,Realism,1899,Early Years,1.7241,7.1514,1373.1081,513.8386
Portrait of Gustave Coquiot,Impressionism,1901,Early Years,1.7061,7.3249,220.2664,419.3425
Portrait of Gustave Coquiot_1,Post-Impressionism,1901,Early Years,1.6992,6.7944,647.1654,551.3588
Portrait of Josep Cardona,Impressionism,1899,Early Years,1.6945,7.3882,457.6185,757.6094
Portrait of Petrus Manach,Post-Impressionism,1901,Early Years,1.8968,7.5875,290.2539,972.6161
Portrait of the Artist's Mother,Realism,1896,Early Years,1.8361,7.8652,926.9825,775.8675
Profile of a young girl (Girl with red flower in her hair),Post-Impressionism,1901,Early Years,1.8566,7.6430,131.1197,511.3948
Quarries,Realism,1896,Early Years,1.7865,7.4571,354.1385,445.6405
Sada Yacco,Japonism,1901,Early Years,1.8540,7.4369,87.4791,528.8500
Science and Charity,Realism,1897,Early Years,1.8336,7.7755,1197.6388,725.4433
Seated woman in green,Post-Impressionism,1901,Early Years,1.9184,7.2703,115.7608,533.5389
Self-Portrait,Realism,1896,Early Years,1.7159,7.3229,1102.1563,586.9776
Self-Portrait_1,Realism,1900,Early Years,1.8194,7.9466,446.9075,527.5119
Self-Portrait_3,Expressionism,1901,Early Years,1.7190,7.4538,138.0925,461.5455
Self-Portrait_4,Expressionism,1901,Early Years,1.7773,7.4476,944.8294,571.3051
Self-Portrait_5,Impressionism,1901,Early Years,1.7517,7.6434,114.4920,398.7239
Snackbar in the  open air,Impressionism,1900,Early Years,1.6295,7.4159,316.3297,388.2273
Stuffed shirts,Impressionism,1900,Early Years,1.8248,7.8721,993.1543,666.8258
The 'Divan Japonais',"Japonism, Post-Impressionism",1901,Early Years,1.8858,7.5843,170.5780,467.9439
The altarboy,Realism,1896,Early Years,1.6023,7.4535,70.7209,348.2774
The barefoot girl,Realism,1895,Early Years,1.7552,7.4787,1051.4690,760.7596
The brutal embrace,Expressionism,1900,Early Years,1.1804,6.7489,316.5803,299.7041
The corrida,Post-Impressionism,1901,Early Years,1.7510,7.5610,283.9774,513.1343
The cries of virgins,Art Nouveau (Modern),1900,Early Years,1.8587,7.5076,127.2370,554.0388
The Fourteenth of July,Post-Impressionism,1901,Early Years,1.8343,7.8728,636.8689,790.4689
The old fisherman,Realism,1895,Early Years,1.5973,7.4270,87.0591,370.2518
The picador,Post-Impressionism,1890,Early Years,1.9055,7.8658,1470.5447,779.9322
The pool of Tuileries,Post-Impressionism,1901,Early Years,1.8377,7.5341,93.7851,217.9070
The Sun King,Post-Impressionism,1901,Early Years,1.8337,7.3677,135.9897,394.1091
View of Riera de Sant Joan from the window,Expressionism,1900,Early Years,1.5913,7.4089,364.7355,279.6742
Woman at a Fountain,Post-Impressionism,1901,Early Years,1.7774,7.6692,186.2705,499.3609
Woman dressed in blue,Post-Impressionism,1901,Early Years,1.8520,7.6300,212.3253,1034.3689
Woman on the street,Art Nouveau (Modern),1901,Early Years,1.8332,7.5060,139.9326,296.4967
Woman with blue hat,Post-Impressionism,1901,Early Years,1.8718,7.2073,192.9130,562.3476
Woman with cap,Post-Impressionism,1901,Early Years,1.7897,7.6068,395.8596,572.0167
Woman with Cat,Impressionism,1900,Early Years,1.7547,7.5196,186.3803,402.2214
Woman with feathered hat,Impressionism,1901,Early Years,1.6309,7.2609,163.4907,309.4094
Woman with hat,Post-Impressionism,1901,Early Years,1.8707,7.5854,128.3918,557.5371
Woman with jewelery,Post-Impressionism,1901,Early Years,1.6206,7.3976,291.1412,353.0234
Woman with necklace of gems,Post-Impressionism,1901,Early Years,1.7499,7.6058,125.0372,525.1272
Women in the loge,Post-Impressionism,1901,Early Years,1.7084,7.5900,256.0308,358.5300
Algerian women (Delacroix),Cubism,1955,Later Years,1.7618,7.6859,180.4376,471.4661
Algerian women,"Cubism, Surrealism",1955,Later Years,1.7317,7.7655,114.8112,213.8703
An artist,Surrealism,1963,Later Years,1.8010,7.8172,182.3364,379.9913
An artist_1,Surrealism,1967,Later Years,1.9212,7.1354,62.1217,557.5238
Armchair 'California',Surrealism,1956,Later Years,1.8760,7.7554,134.4815,541.1372
Bearded man,Expressionism,1962,Later Years,1.8423,7.5865,129.2578,436.5373
Big heads,"Expressionism, Surrealism",1969,Later Years,1.8182,7.8356,232.0933,528.8954
Bobo (Velazquez-Murillo),Surrealism,1959,Later Years,1.7518,7.4643,116.5802,182.5533
Breakfast,Cubism,1953,Later Years,1.7302,7.7845,113.0871,361.2090
Buffet Henry II and armchair with dog,Surrealism,1959,Later Years,1.7562,7.5660,235.5880,415.8101
Bullfighting Scene (The picador raised),Surrealism,1955,Later Years,1.7352,7.3261,91.2965,418.7213
Bullfighting Scene (The torero is raised),Surrealism,1955,Later Years,1.6891,7.5279,133.8541,319.4258
Bust of Woman with Yellow Ribbon (Jacqueline),"Cubism, Surrealism",1962,Later Years,1.6772,5.6662,39.3061,166.2789
Bust of woman_7,"Expressionism, Naïve Art (Primitivism)",1965,Later Years,1.8912,7.5849,99.8107,563.2126
Bust of woman_8,Surrealism,1971,Later Years,1.8435,7.5782,147.0177,478.9038
Child playing in camomilles,Expressionism,1953,Later Years,1.8548,7.7009,252.5212,429.5557
Claude and Paloma playing,Surrealism,1950,Later Years,1.7300,7.7043,131.5467,192.4653
Crouching female nude,"Expressionism, Surrealism",1956,Later Years,1.6977,7.4159,192.6386,353.3373
Crouching female nude_1,"Cubism, Surrealism",1959,Later Years,1.8386,7.5657,156.2226,488.7894
Crouching man,Surrealism,1971,Later Years,1.9214,6.9411,76.0794,621.7275
Danae,Surrealism,1962,Later Years,1.8152,7.4500,76.0538,326.4200
Dance of Fauns,Expressionism,1957,Later Years,1.8627,7.3077,82.6961,367.5217
Dancer_1,Naïve Art (Primitivism),1954,Later Years,1.8957,2.5723,26.3376,974.7892
Don Quixote,Expressionism,1955,Later Years,1.8881,3.0707,28.8477,479.0351
Dora Maar with Cat,Cubism,1941,Later Years,1.7814,7.6396,55.7165,1640.9936
Drawing nude seated in armchair,Naïve Art (Primitivism),1965,Later Years,1.9197,7.3163,111.9192,670.2356
Drawing woman surrounded by her children,"Cubism, Surrealism",1950,Later Years,1.8301,7.8366,201.5807,442.2303
Embrace_1,Surrealism,1971,Later Years,1.8859,7.7386,149.5011,531.2944
Family,Surrealism,1965,Later Years,1.8911,7.8851,190.8968,536.0202
Female nude near the garden,"Cubism, Surrealism",1956,Later Years,1.7697,7.4852,144.0195,322.6439
Female nude sitting in the armchair,Expressionism,1964,Later Years,1.9241,7.5514,122.4140,618.7392
Female nude with man's head,Expressionism,1967,Later Years,1.9513,7.2503,140.4990,697.3565
Fish chowder,Surrealism,1960,Later Years,1.9137,7.7992,169.7288,424.9225
Francoise Gilot with Paloma and Claude,"Naïve Art (Primitivism), Surrealism",1951,Later Years,1.7862,7.7456,62.1012,237.0511
Girl in chair,"Cubism, Surrealism",1952,Later Years,1.7235,7.8852,168.9499,457.3458
Head of a Girl_1,Naïve Art (Primitivism),1950,Later Years,1.8837,5.5280,33.0427,227.1871
Head of a man with straw hat,Surrealism,1971,Later Years,1.8462,7.7421,161.7348,500.0109
Interior with girl drawing,"Cubism, Surrealism",1956,Later Years,1.8058,7.8452,172.4442,548.6233
Jacqueline at the studio,"Cubism, Surrealism",1956,Later Years,1.8119,7.8508,176.3782,482.7683
Jacqueline in turkish costume,Naïve Art (Primitivism),1955,Later Years,1.9062,7.3833,126.6973,664.8486
Jacqueline sitting with her cat,Cubism,1964,Later Years,1.8734,7.6506,145.2896,514.8662
Jacqueline with flowers,Cubism,1954,Later Years,1.6138,6.9666,77.9619,396.2127
Jug with handle,Naïve Art (Primitivism),1954,Later Years,1.8446,7.6635,177.5038,445.9423
Las Meninas (Velazquez),Cubism,1957,Later Years,1.7437,7.6799,165.6076,489.1783
Las Meninas (Velazquez)_1,Cubism,1957,Later Years,1.6631,7.4332,144.6480,362.4513
Las Meninas (Velazquez)_2,Naïve Art (Primitivism),1957,Later Years,1.7078,7.0548,60.9546,497.2308
Las Meninas (Velazquez)_3,Naïve Art (Primitivism),1957,Later Years,1.8347,7.7115,160.3326,675.7408
Las Meninas (Velazquez)_4,"Cubism, Surrealism",1957,Later Years,1.7335,7.8527,240.8625,449.8653
Las Meninas (Velazquez)_5,"Cubism, Surrealism",1957,Later Years,1.7807,7.3027,109.4371,482.9453
Las Meninas (Velazquez)_6,"Naïve Art (Primitivism), Surrealism",1957,Later Years,1.6942,7.6251,201.6984,430.6890
Luncheon on the grass,Surrealism,1961,Later Years,1.6268,7.5385,288.2675,341.6379
Lying female nude playing  with cat,Surrealism,1964,Later Years,1.8050,7.5597,54.6208,315.4882
Lying female nude playing  with cat_1,Surrealism,1964,Later Years,1.7256,7.7765,92.3048,250.9006
Lying female nude under the pine tree,Surrealism,1959,Later Years,1.7267,7.4550,105.6759,236.1845
Lying female nude with cat,Surrealism,1964,Later Years,1.6917,7.4707,118.0961,212.3383
Lying female nude_3,"Expressionism, Naïve Art (Primitivism)",1964,Later Years,1.7729,7.6254,95.0955,254.4617
Lying female nude_4,Surrealism,1964,Later Years,1.7365,7.7169,120.4633,236.9535
Lying female nude_5,Surrealism,1964,Later Years,1.7792,7.6392,129.8255,245.9017
Lying naked woman (The Voyeurs),"Expressionism, Surrealism",1955,Later Years,1.7222,7.7762,81.0523,383.7043
Lying naked woman,Expressionism,1955,Later Years,1.7604,7.8279,90.0549,422.7980
Lying naked woman_1,Expressionism,1955,Later Years,1.8073,7.6898,94.0227,462.7739
Man and woman on the beach,Surrealism,1956,Later Years,1.7823,7.6009,62.9513,386.4221
Man and Woman_2,"Cubism, Naïve Art (Primitivism)",1958,Later Years,1.9264,7.5481,125.5431,616.3059
Man and Woman_3,Surrealism,1971,Later Years,1.9185,7.5419,158.4188,643.5027
"Man with lamb, man eating watermelon and flutist",Naïve Art (Primitivism),1967,Later Years,1.8799,6.5377,99.2962,832.9863
Man with pipe_1,Surrealism,1968,Later Years,1.8399,7.6377,132.3623,610.0476
Maria Agustina Sarmiento (Velazquez),Surrealism,1957,Later Years,1.8224,7.5884,247.9436,406.4910
Matador and female nude,Surrealism,1970,Later Years,1.5748,7.1766,108.7322,133.3000
Matador,"Cubism, Surrealism",1970,Later Years,1.8233,7.7674,268.3300,417.1951
Mediterranean Landscape,Cubism,1952,Later Years,1.7692,7.6012,171.8081,264.5326
Mother and child_7,Surrealism,1953,Later Years,1.8767,5.7160,34.5900,681.3508
Musketeer with pipe,Naïve Art (Primitivism),1968,Later Years,1.8136,7.8966,178.9922,548.7408
Musketeer,Naïve Art (Primitivism),1970,Later Years,1.9154,7.7668,155.9641,594.8641
Naked man and woman,Surrealism,1967,Later Years,1.9006,7.8087,194.6349,567.3526
Naked woman and musketeer,Naïve Art (Primitivism),1967,Later Years,1.8867,7.8523,237.5530,541.1222
Naked woman in rocking chair,Surrealism,1956,Later Years,1.8391,7.5330,120.1468,469.9773
Naked woman on the beach and shovel,"Cubism, Surrealism",1960,Later Years,1.8444,7.7342,203.1478,519.5480
Nude gathering flowers,Naïve Art (Primitivism),1958,Later Years,1.8491,7.3824,56.1507,518.7372
Nude woman with turkish bonnet,"Cubism, Naïve Art (Primitivism)",1955,Later Years,1.9032,7.6477,162.5563,597.9047
Painter and his model_2,"Cubism, Naïve Art (Primitivism)",1963,Later Years,1.7020,7.6313,125.3484,351.2275
Painter and his model_3,"Cubism, Naïve Art (Primitivism)",1963,Later Years,1.6188,7.5405,150.2090,285.4608
Painter and his model_4,Surrealism,1963,Later Years,1.7526,7.5816,238.7409,471.3761
Painter and his palette,Naïve Art (Primitivism),1967,Later Years,1.8236,5.9036,18.6311,668.3990
Paternity,"Cubism, Surrealism",1971,Later Years,1.8814,7.7641,207.8717,555.2205
Picador on the horseback on arena,Surrealism,1951,Later Years,1.8835,5.4680,60.4830,588.6670
Plat ovale,Naïve Art (Primitivism),1953,Later Years,1.8359,7.7363,232.3402,452.1426
Portrait of child,Expressionism,1951,Later Years,1.8465,6.6634,51.6405,645.0747
Portrait of Jacqueline Roque with her hands crossed,Cubism,1954,Later Years,1.7732,7.8482,129.3904,515.8681
Portrait of Jacqueline,Cubism,1957,Later Years,1.8569,7.5673,37.4123,508.2853
Portrait of Sylvette David in green chair,Cubism,1954,Later Years,1.8229,7.5885,108.5881,601.9840
Portrait of Sylvette David,Cubism,1954,Later Years,1.7975,7.6202,90.6530,595.3519
Portrait of Sylvette David_1,Expressionism,1954,Later Years,1.8394,7.8234,386.2599,560.9135
Portrait of Sylvette David_2,Expressionism,1954,Later Years,1.8461,7.6604,259.8026,640.3014
Portrait of Sylvette David_3,Cubism,1954,Later Years,1.7340,7.6390,98.6194,507.0438
Reclining Nude with wreath,Surrealism,1970,Later Years,1.8956,7.7468,137.1828,547.5697
Reclining woman reading,Surrealism,1960,Later Years,1.7350,7.5606,199.6898,435.1319
Reclining woman_3,Surrealism,1954,Later Years,1.7988,7.7271,223.7797,455.1466
Seated female nude_6,Surrealism,1959,Later Years,1.8596,7.5691,82.4563,574.2713
Seated man (Self-portrait),Naïve Art (Primitivism),1965,Later Years,1.8554,7.3393,156.8059,716.9671
Seated man playing flute,Naïve Art (Primitivism),1967,Later Years,1.9303,7.5246,122.9694,639.5473
Seated old man,Naïve Art (Primitivism),1970,Later Years,1.8135,7.7147,258.9097,546.6210
Seated woman (Jacqueline),Surrealism,1960,Later Years,1.7604,7.7311,93.5698,353.3881
Seated Woman with Red Hat,Surrealism,1956,Later Years,1.7350,7.7676,93.8724,236.0113
Seated woman_11,"Cubism, Surrealism",1953,Later Years,1.6052,7.4261,60.7042,266.2672
Seated woman_12,Surrealism,1960,Later Years,1.8958,7.4483,105.0937,482.3037
Seated woman_13,Surrealism,1971,Later Years,1.9160,7.5663,69.2496,595.5493
Smoke over Vallauris,Expressionism,1951,Later Years,1.7145,7.5137,150.6322,286.8697
Spring,Cubism,1956,Later Years,1.8020,7.7040,141.6625,434.9671
Standing female nude and man with pipe,Surrealism,1968,Later Years,1.7038,7.7432,185.7727,475.8202
Still life on the dresser,"Cubism, Naïve Art (Primitivism)",1955,Later Years,1.7372,7.6667,68.8744,418.6619
Still life with cat and lobster,Surrealism,1962,Later Years,1.8419,7.8663,235.2038,489.1772
Studio (Pigeons perch),Expressionism,1960,Later Years,1.7743,7.6563,172.4460,425.6625
Studio (Pigeons) (Velazquez),Expressionism,1957,Later Years,1.8241,7.7541,235.8380,441.6569
Studio (Pigeons) (Velazquez)_1,Expressionism,1957,Later Years,1.7942,7.6653,278.9057,392.4676
Studio (Pigeons) (Velazquez)_2,Expressionism,1957,Later Years,1.8317,7.8349,272.8756,479.1659
Studio (Pigeons) (Velazquez)_3,Naïve Art (Primitivism),1957,Later Years,1.8216,7.8569,245.2128,438.6171
Studio of 'California in Cannes,Expressionism,1956,Later Years,1.7548,7.5381,166.5281,408.5414
The Abduction of Sabines,Surrealism,1962,Later Years,1.8766,7.6922,156.6855,340.0065
The Abduction of Sabines_1,Surrealism,1962,Later Years,1.7819,7.6211,205.3966,377.1992
The Abduction of Sabines_2,Surrealism,1963,Later Years,1.7610,7.3891,156.6015,455.5977
The Aubade,Surrealism,1965,Later Years,1.8375,7.7688,234.4381,549.6991
The beach in Garoupe,Surrealism,1955,Later Years,1.7728,7.5532,134.2631,435.4657
The beach in Garoupe_1,Surrealism,1955,Later Years,1.7744,7.4912,78.5987,448.1844
The dining room of Vauvenargues,Expressionism,1959,Later Years,1.7384,7.7716,155.5906,459.0068
The eight names of Picasso,Naïve Art (Primitivism),1970,Later Years,1.9308,2.8959,30.7966,837.7235
The Italian woman,Symbolism,1953,Later Years,1.8199,7.3658,275.2746,1636.1632
The Luncheon on the Grass,Expressionism,1961,Later Years,1.8228,7.7151,522.1991,393.3481
The Luncheon on the Grass_1,Surrealism,1962,Later Years,1.6505,7.1427,59.2993,186.5819
The Man with a Pipe,Surrealism,1968,Later Years,1.7994,7.8158,272.2288,532.2405
The piano  (Velazquez),Surrealism,1957,Later Years,1.7288,7.5467,156.4241,415.1468
The shadow,Surrealism,1953,Later Years,1.8229,7.6498,113.6777,458.1936
Two seated women,"Cubism, Surrealism",1958,Later Years,1.8174,7.4971,49.5559,245.4676
Two women on the beach,Cubism,1956,Later Years,1.8257,7.5737,59.9470,459.8021
Two women on the beach_1,Surrealism,1967,Later Years,1.8826,7.7648,149.1786,521.6038
Untitled_41,Neoclassicism,1954,Later Years,1.9418,7.1617,113.0534,725.1429
Untitled_42,Expressionism,1955,Later Years,1.9035,7.6250,235.7543,580.1198
Untitled_43,Expressionism,1958,Later Years,1.7484,7.6053,286.2586,360.9835
Untitled_44,Expressionism,1958,Later Years,1.8440,7.5820,351.5455,434.2817
Untitled_45,Surrealism,1966,Later Years,1.9172,7.1605,321.0714,289.2851
Untitled_46,Expressionism,1967,Later Years,1.8630,5.1384,47.2450,851.9028
Untitled_47,Expressionism,1968,Later Years,1.8623,6.4397,67.0422,758.0256
Untitled_48,"Expressionism, Neoclassicism",1970,Later Years,1.9183,7.5671,514.0935,238.4797
Untitled_49,Expressionism,1970,Later Years,1.9317,5.2950,95.1317,410.6395
Untitled_50,Expressionism,1970,Later Years,1.8470,7.2371,376.6326,191.2175
Untitled_51,Expressionism,1971,Later Years,1.9201,5.4054,114.4585,369.3808
Untitled_52,Expressionism,1971,Later Years,1.9011,7.2561,275.1930,280.2102
Untitled_53,"Expressionism, Surrealism",1971,Later Years,1.9216,6.7555,221.9498,347.9425
Untitled_54,Expressionism,1971,Later Years,1.9500,4.3599,56.7044,410.0301
Woman in Armchair,Surrealism,1960,Later Years,1.7268,7.5921,69.3281,212.7990
Woman in the studio,Expressionism,1956,Later Years,1.7024,7.3628,111.4254,309.8591
Woman reading_1,Expressionism,1953,Later Years,1.8459,5.1902,30.3902,757.9866
Woman sitting in an armchair_10,Surrealism,1962,Later Years,1.9165,7.0902,52.1701,617.5644
Woman sitting in an armchair_9,Surrealism,1953,Later Years,1.8101,7.4397,155.7338,512.9440
Woman sitting in blue armchair,Surrealism,1962,Later Years,1.7970,7.4711,184.3447,433.3365
Woman with bird,Surrealism,1966,Later Years,1.7587,7.2334,45.5519,297.3707
Woman with bird_1,Surrealism,1970,Later Years,1.7922,7.5711,108.5735,489.1187
Woman with braid,Surrealism,1971,Later Years,1.9049,7.4626,114.2026,591.4838
Woman with hat_2,Expressionism,1962,Later Years,1.8226,7.2770,68.9562,513.8756
Woman with hat_3,Surrealism,1962,Later Years,1.6280,6.3086,108.8752,163.1403
Women of Algiers,Surrealism,1955,Later Years,1.8019,6.9131,66.8822,355.1574
Women's toilette,Surrealism,1961,Later Years,1.8068,7.5821,67.8976,405.3337
A blue acrobat,Surrealism,1929,Neoclassicist & Surrealist Period,1.8889,6.3559,24.7233,744.6918
A bullfight,"Cubism, Surrealism",1934,Neoclassicist & Surrealist Period,1.7214,7.5149,130.3120,309.2924
A bullfight_1,Surrealism,1934,Neoclassicist & Surrealist Period,1.9031,7.9218,334.0786,566.7898
A child with pigeons,"Cubism, Surrealism",1943,Neoclassicist & Surrealist Period,1.7469,7.5943,252.6153,463.0455
A dream,Cubism,1932,Neoclassicist & Surrealist Period,1.7630,7.3983,39.2984,560.2731
