Period,Name of the painting,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
Blue Period,Dawn at Riera de Sant Joan,1.6771,7.2969,156.9143,319.5338
Blue Period,Dinner time (Evocation of Horta d'Ebre),1.9479,7.0083,239.5971,835.6662
Blue Period,Drunk woman is tired,1.7211,7.4818,169.7695,296.2593
Blue Period,Evocation (The Burial of Casagemas),1.7974,7.8351,883.9106,843.1709
Blue Period,Female Head,1.6783,7.2850,415.6218,355.6083
Blue Period,Group of poor people,1.8947,6.9749,71.3537,313.7455
Blue Period,Harlequin leaning,1.6898,7.6594,243.5105,408.4476
Blue Period,Head of dead woman,1.7716,7.5759,167.9453,316.1950
Blue Period,Le gourmet,1.7312,7.6808,111.7373,251.5219
Blue Period,Life,1.8251,7.5869,1032.6136,1019.5676
Blue Period,Madonna with Garland,1.5848,6.7252,126.4116,256.6477
Blue Period,Man and woman in café (study),1.8965,7.0079,96.3573,379.0323
Blue Period,Man and woman in café,1.6853,7.5302,279.1090,373.2336
Blue Period,Man and woman with child in café,1.8276,7.6155,181.3558,537.6205
Blue Period,Man and Woman,1.8595,7.0203,73.0294,354.2051
Blue Period,Man in blue,1.5734,7.2741,424.5743,343.8469
Blue Period,Melancholy woman,1.6394,7.0417,615.2348,732.8671
Blue Period,Mother and child on the beach,1.8431,7.3905,1140.6886,933.0613
Blue Period,Mother and child on the beach_1,1.8857,7.8142,305.1279,366.4407
Blue Period,Mother and child,1.7565,7.5440,1051.5719,777.9494
Blue Period,Mother and son on the shore,1.7558,7.2834,387.4092,400.5441
Blue Period,Mother and son with handkerchief,1.6935,7.3871,182.2280,393.0547
Blue Period,Motherhood,1.7121,7.5277,209.1718,382.6329
Blue Period,Motherhood_1,1.7432,7.6598,133.0029,370.3142
Blue Period,Naked woman with dripping hair,1.8327,7.1460,235.9301,257.7122
Blue Period,Nana,1.7884,7.7905,1080.7680,809.8409
Blue Period,Nude with Picasso by her feet,1.8765,7.0236,72.1042,702.9038
Blue Period,Old blind man with boy,1.4067,6.6629,401.3929,274.1885
Blue Period,"Palace of Arts, Barcelona",1.4460,6.9693,288.9804,305.5274
Blue Period,Picasso and S. Junier-Vidal sitting near Celestina,1.9128,7.3307,139.9761,363.2379
Blue Period,Portrait of a tailor Soler,1.3008,5.8111,68.7788,90.1957
Blue Period,Portrait of Corina Romeu,1.8015,7.8489,188.6245,387.1986
Blue Period,Portrait of Jaime Sabartes (The bock),1.8821,7.8441,573.8367,918.9471
Blue Period,Portrait of Jaime Sabartes,1.6268,7.0856,232.3407,344.9703
Blue Period,Portrait of Jaime Sabartes_1,1.7428,7.4261,106.0244,405.9899
Blue Period,Portrait of Juli Gonzalez,1.8624,7.1130,151.7073,436.8675
Blue Period,Portrait of Mateu Fernandez de Soto,1.7686,7.5087,382.0600,388.2095
Blue Period,Portrait of Sebastia Junyer-Vidal,1.8415,7.6922,773.1229,721.8140
Blue Period,Portrait of Sebastià Junyent Sans,1.5834,7.1628,284.9349,302.4487
Blue Period,Portrait of seniora Soler (Girl in a chemise),1.7905,7.6296,1104.6306,844.5207
Blue Period,Portrait of Suzanne Bloch,1.7809,7.6711,1040.6579,589.8767
Blue Period,Portrait of the Artist,1.8873,6.8109,27.7161,619.6737
Blue Period,Profile of young dutchwoman,1.8904,6.1191,31.3563,460.0431
Blue Period,Public Garden,1.6951,7.4582,170.2145,299.5099
Blue Period,S. Junyer-Vidal with woman beside him,1.6852,7.5533,198.6627,396.8561
Blue Period,Scene in a cabaret,1.8594,7.7287,212.6402,493.0606
Blue Period,Seated female nude,1.8430,7.3752,159.1880,583.2291
Blue Period,Seated woman on a striped floor,1.7080,7.2850,109.1501,242.0445
Blue Period,Seated woman,1.8941,6.8455,50.2659,596.0548
Blue Period,Sebastia Junyer-Vidal as matador,1.8896,5.9696,34.9370,572.9312
Blue Period,Sebastia Junyer-Vidal as rhapsode,1.9426,6.9666,242.1041,563.3993
Blue Period,Self-Portrait_2,1.4053,6.6333,370.0972,487.0673
Blue Period,Seller of gul,1.7305,7.3956,605.6829,680.1806
Blue Period,Soler family,1.6279,7.4682,133.1903,367.6672
Blue Period,Standing young nude,1.7153,6.6373,321.3382,363.9449
Blue Period,Still life (The dessert),1.8130,7.8299,567.1380,748.7049
Blue Period,Study to Two sisters,1.8944,3.8174,38.8885,1279.5997
Blue Period,Summer landscape,1.8978,7.0238,510.4118,431.9582
Blue Period,The Absinthe Drinker (Portrait of Angel Fernandez de Soto),1.6382,6.5272,111.8604,299.0139
Blue Period,The Absinthe Drinker,1.9434,7.9682,1289.3460,986.8737
Blue Period,The absinthe drinker_1,1.6449,7.0417,461.7020,561.3089
Blue Period,The death of Casagemas,1.7539,7.5282,349.0671,379.1050
Blue Period,The death of Casagemas_1,1.8432,7.8477,661.0139,496.4524
Blue Period,The Embrace,1.8651,7.9148,1602.5289,1046.7194
Blue Period,The family of blind man,1.9281,7.4729,216.5744,561.2361
Blue Period,The Fortune,1.4978,6.9388,479.3062,271.4714
Blue Period,The Frugal Repast,1.7381,7.4986,339.6163,409.4196
Blue Period,The Greedy,1.8090,7.6477,583.1485,794.7829
Blue Period,The ironer,1.8666,7.8756,1202.4806,994.6142
Blue Period,The mother leading two children,1.8270,7.8897,395.9685,1089.4367
Blue Period,The old blind guitarist,1.6231,6.9440,223.1607,1450.1729
Blue Period,The roofs of Barcelona in the moonlight,1.7987,7.1712,253.4777,412.6595
Blue Period,The roofs of Barcelona,1.6744,7.4926,248.9411,385.9987
Blue Period,The room of the ironer,1.2426,6.0057,177.5355,146.5461
Blue Period,The soup,1.7865,7.4615,810.2675,692.1818
Blue Period,The suicide (Casagemas),1.8627,7.5704,216.6409,414.9111
Blue Period,The Tragedy,1.8585,7.7170,753.4029,1113.9496
Blue Period,The Visit  (The two sisters),1.6702,7.2362,339.0432,341.5521
Blue Period,The woman with the edge,1.7608,7.5030,112.4507,174.0056
Blue Period,Two acrobats (Harlequin and his companion),1.8602,7.8907,1168.9665,734.3715
Blue Period,Two friends,1.6691,7.3896,232.3842,324.9382
Blue Period,Two women sitting at a bar,1.7147,7.2325,994.6886,572.2206
Blue Period,Woman in a shawl,1.4681,7.1208,372.4438,323.5397
Blue Period,Woman in blue,1.5462,7.0179,450.4151,337.3900
Blue Period,Woman leaning ahead,1.8364,7.6370,162.9804,667.0355
Blue Period,Woman leaving the bath,1.7529,7.3185,138.8059,373.9571
Blue Period,Woman with a Fan,1.8536,7.4030,1094.0099,899.9573
Blue Period,Woman with chignon,1.6215,7.2525,62.6837,275.6518
Blue Period,Woman with cigarette,1.7222,7.6392,248.3437,387.3932
Blue Period,Woman with green stockings,1.9054,6.7414,69.2203,470.4121
Blue Period,Woman with her ​​hair in a small bun,1.8496,7.8835,593.1273,737.6836
Blue Period,Woman with raven,1.4784,6.8142,447.2859,264.3265
Blue Period,Woman with raven_1,1.6637,7.1992,384.5752,386.1066
Cubist Period,A glass of absinthe,1.5884,7.2609,121.1391,341.0113
Cubist Period,A glass,1.8467,7.2954,176.8333,626.7218
Cubist Period,Apple,1.7714,7.6125,39.1345,315.8553
Cubist Period,Artist's studio,1.9553,6.1058,83.8569,733.3051
Cubist Period,Au bon marche,1.7296,7.7270,119.9434,368.0522
Cubist Period,Barselona harlequin,1.7877,7.5347,174.6659,526.2487
Cubist Period,Bathers Drying Themselves,1.6011,7.2279,306.0124,272.8367
Cubist Period,Bathers,1.8501,7.6672,177.5372,600.4963
Cubist Period,"Bottle of bass, glass and package of tobacco",1.7401,7.4135,46.9297,380.0738
Cubist Period,Bottle of black rum (Vive la France),1.5276,6.9974,100.6310,122.4739
Cubist Period,"Bottle of Vieux Marc, Glass and Newspaper",1.8444,7.4343,115.9902,650.6626
Cubist Period,"Bottle of Vieux Marc, Glass, Guitar and Newspaper",1.8268,7.6630,140.5601,584.6998
Cubist Period,"Bottle, glass, violin",1.8601,6.7883,85.7958,715.0383
Cubist Period,Catalan Woman,1.9323,5.4248,44.6481,718.3043
Cubist Period,Clarinet and Violin,1.7867,7.6483,77.0355,266.6316
Cubist Period,"Clarinet, bottle of bass, newspaper, ace of clubs",1.8375,7.5886,153.2737,570.2672
Cubist Period,Clarinet,1.8182,7.3672,208.8350,554.0333
Cubist Period,Clarinetist,1.7162,7.5808,241.8961,377.1114
Cubist Period,Costume design for ballet Tricorne,1.9123,7.2566,64.6828,854.6391
Cubist Period,Costume design for ballet Tricorne_1,1.8739,7.4504,47.8152,750.0162
Cubist Period,Costume design for ballet Tricorne_2,1.9083,7.2109,143.6996,766.5860
Cubist Period,Costume design for ballet Tricorne_3,1.9194,7.3471,269.3873,825.6092
Cubist Period,Costume design for ballet Tricorne_4,1.9122,6.9090,35.4394,868.4551
Cubist Period,Costume design for ballet Tricorne_5,1.9003,7.5430,104.3581,805.0815
Cubist Period,Couple of dancers,1.7890,7.4986,168.6327,462.7366
Cubist Period,Cubist Person,1.7186,7.2819,146.6238,425.4700
Cubist Period,Curtain for the ballet Parade,1.7133,7.5002,135.0400,461.2032
Cubist Period,Dancer,1.8795,5.1413,16.5175,344.0551
Cubist Period,El Paseo de Colon,1.8798,7.7292,273.1215,507.5708
Cubist Period,Frauenkopf,1.7784,7.2875,31.1321,182.0342
Cubist Period,Fruit Bowl with Fruit,1.6100,7.2889,80.8319,295.2450
Cubist Period,Fruit dish,1.7907,7.8542,210.8609,471.9421
Cubist Period,Fruit dish_1,1.8086,7.7219,145.1134,547.5807
Cubist Period,Fruit in a Vase,1.7162,7.5819,151.2617,438.7938
Cubist Period,Fruit vase and bunch of grapes,1.6621,7.3221,176.0208,419.4165
Cubist Period,Girl with mandolin (Fanny Tellier),1.8150,7.5440,255.1157,520.5216
Cubist Period,Glass and bottle of  Bass,1.8575,7.6259,220.1001,674.5093
Cubist Period,Glass and bottle of straw rum,1.8230,7.8047,205.5021,455.1375
Cubist Period,Glass and Bottle of Suze,1.8443,7.2147,336.7658,535.7920
Cubist Period,Glass and newspaper,1.6415,7.6530,178.8582,269.0425
Cubist Period,Glass on a Table,1.9672,7.1250,142.0721,710.9416
Cubist Period,Glass,1.8210,6.0841,18.8857,272.1350
Cubist Period,Guitar (I love Eva),1.8120,7.5808,179.4062,481.6212
Cubist Period,Guitar and bottle,1.7423,7.6700,196.0320,493.7449
Cubist Period,Guitar and jug on a table,1.6662,7.2221,465.8081,314.3448
Cubist Period,Guitar and sheet of music,1.8115,7.4346,15.8709,265.0895
Cubist Period,Guitar and Violin,1.7869,7.6672,130.0504,281.5236
Cubist Period,Guitar player,1.7904,7.5602,238.8793,481.5936
Cubist Period,"Guitar, bottle, fruit dish and glass on the table",1.6091,7.4159,183.9938,331.0385
Cubist Period,"Guitar, Glass and Bottle of Vieux Marc",1.8608,7.5559,89.2021,485.0815
Cubist Period,"Guitar, Sheet music and Wine glass",1.8207,7.0969,250.7900,543.4878
Cubist Period,Guitar,1.7964,6.3175,35.5929,633.7505
Cubist Period,Guitar_4,1.8631,7.1369,114.9996,711.7322
Cubist Period,Gutted horse,1.7955,6.1333,137.1253,574.8135
Cubist Period,Harlequin and woman with necklace,1.6510,7.1373,91.1739,449.3787
Cubist Period,Harlequin leaning_1,1.7759,7.4428,92.6522,255.2144
Cubist Period,Harlequin with guitar,1.8710,7.7041,79.6097,263.9661
Cubist Period,Harlequin with guitar_1,1.8104,7.5412,425.6596,437.8031
Cubist Period,Harlequin,1.5589,6.7735,20.1840,313.4056
Cubist Period,Harlequinesque personage,1.8376,7.2462,200.7102,591.4813
Cubist Period,Harlequin_1,1.8091,7.8026,218.6617,514.2721
Cubist Period,Head of a man with hat,1.8875,6.3832,22.3829,598.1328
Cubist Period,Head of a man_4,1.8663,6.7182,42.4212,606.1292
Cubist Period,Head of a man_5,1.8393,7.5371,142.0518,535.2395
Cubist Period,Head of a Woman (Fernande),1.8043,7.4163,86.0055,325.7230
Cubist Period,Head_1,1.8544,6.9972,83.3237,369.3105
Cubist Period,House in the garden,1.7312,7.4143,400.7227,430.7877
Cubist Period,Houses on the hill,1.8924,7.1305,101.2608,532.8427
Cubist Period,Landscape with Posters,1.7956,7.6624,88.0313,276.5033
Cubist Period,Lovers_1,1.6060,7.4667,124.5384,346.4356
Cubist Period,Man with a guitar,1.7309,7.8755,153.8302,427.3337
Cubist Period,Man with guitar,1.8827,7.7452,224.9736,489.6115
Cubist Period,Man with guitar_1,1.8106,7.5715,137.2711,541.9698
Cubist Period,Man with pipe,1.7076,7.5542,89.3310,246.8610
Cubist Period,Mandolin,1.8361,7.3186,186.6410,587.2961
