Period,Fractal dimension_Mean,Fractal dimension_Std_Dev,Entropy_Mean,Entropy_Std_Dev,Birkhoff measure_Mean,Birkhoff measure_Std_Dev,Euclidean distance_Mean,Euclidean distance_Std_Dev
African Period,"1,7265030303030304","0,12218615805992604","7,408869696969697","0,3056776446719887","215,9945787878788","118,17724833070746","366,17089848484846","96,11478828099801"
Blue Period,"1,759247474747475","0,13091549178174436","7,284401010101011","0,42270967059107395","362,30674444444446","292,37583944440917","507,50174444444445","228,23179119666526"
Cubist Period,"1,79592109375","0,08456469326394905","7,44307265625","0,24460113400849792","163,0102609375","83,39110046169765","490,05786640625","157,66690169869622"
Early Years,"1,7443379310344826","0,11279860772374906","7,469753448275862","0,220557056480493","248,2192051724138","156,9635298369438","469,6418862068966","140,88411662965808"
Later Years,"1,8048659259259259","0,07644652717331343","7,584575555555555","0,20868964905306278","147,8901385185185","64,60988753715316","447,98220296296296","125,098255912122"
Neoclassicist & Surrealist Period,"1,7849029023746703","0,08844256718326661","7,4245474934036935","0,3062303751410764","143,78770844327175","80,18968934953583","458,46053509234827","136,10670718597152"
Rose Period,"1,8620518518518518","0,05564888613240859","7,219069135802469","0,5056495166224267","464,1568987654321","434,96329711865366","680,8704345679013","272,54305521240684"
